Project,Rule,Failed Control
dp-api-ide-02-59ef,k8s-a245b4554d24a5a7-node-http-hc,public target: 209.85.152.0/22
dp-api-ide-02-59ef,k8s-a245b4554d24a5a7-node-http-hc,public target: 209.85.204.0/22
dp-api-ide-02-59ef,k8s-fw-a9ad35d5ac69b11ea8f7342010a9a00a,ip_range: 0.0.0.0
eplus-ath-ide-04-bd03,gke-cluster-1-7401d118-all,tcp:all ports
eplus-ath-ide-04-bd03,gke-cluster-1-7401d118-all,udp:all ports
eplus-ath-ide-04-bd03,gke-cluster-1-7401d118-ssh,public target: 35.200.160.36/32
eplus-ath-ide-04-bd03,gke-cluster-1-7401d118-ssh,bad port(s) found: ['tcp:22']
eplus-ath-ide-04-bd03,gke-cluster-1-7401d118-vms,ip_range: 0.0.0.0
eplus-ath-ide-04-bd03,gke-cluster-1-7401d118-vms,bad port(s) found: ['tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535']
eplus-ath-ide-04-bd03,gke-cluster-1-7401d118-vms,bad port(s) found: ['udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535']
eplus-ath-ide-04-bd03,k8s-6bcd7c0a31576867-node-http-hc,public target: 130.211.0.0/22
eplus-ath-ide-04-bd03,k8s-6bcd7c0a31576867-node-http-hc,public target: 35.191.0.0/16
eplus-ath-ide-04-bd03,k8s-6bcd7c0a31576867-node-http-hc,public target: 209.85.152.0/22
eplus-ath-ide-04-bd03,k8s-6bcd7c0a31576867-node-http-hc,public target: 209.85.204.0/22
eplus-ath-ide-04-bd03,k8s-fw-a5d4ac754c68411eaae2c42010aa0000,ip_range: 0.0.0.0
eplus-ath-ide-04-bd03,k8s-fw-a5d4ac754c68411eaae2c42010aa0000,bad port(s) found: ['tcp:80']
eplus-cco-ide-06-46bd,gke-gke-cluster-ead0c139-all,ip_range: 0.0.0.0
